region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Пермский край,29534.3,96.3,34850.2,92.0,381.5,67133.3,98.95,12.2,432247.5,16.0,1.5,2.3102999999999994,96476.0,526.9,651.3,34.9,33769.5,2692549.8,17.2,41.5,3.7,54.8,3125971681.2,198739.0,21.5,1432.2,-7.6,0.21,0.02558,576150.0,16.85,12.899999999999999,16.3,4.05,12.649999999999999,1168.0,42.45
Приморский край,33902.0,99.1,41116.7,90.2,300.2,44500.3,69.55,36.55,413839.7,15.7,2.4,1.8796000000000004,71697.2,199.1,666.5,19.8,22051.9,1983075.6,25.4,49.6,4.2,46.2,697299461.5,198118.0,21.7,1309.3,-5.5,0.221,0.01711,369479.0,18.05,23.450000000000003,25.299999999999997,2.35,8.65,7509.5,34.5
Псковская область,23780.2,98.1,25903.2,87.8,82.5,18336.0,89.55,5.5,231558.6,15.0,0.1,0.0,68390.8,75.4,443.7,2.3,6563.2,692141.9,23.2,29.6,9.3,61.0,260813003.8,172899.0,21.3,1197.9,1.5,0.27,0.00526,112985.0,17.8,20.25,19.25,3.7,24.9,9721.0,35.25
Республика Адыгея,26924.7,100.2,26584.7,91.8,53.7,14467.3,57.0,5.0,211819.6,19.6,3.5,0.0,66094.3,93.2,286.2,0.0,5166.2,448121.0,25.5,44.6,5.4,50.1,116831495.7,200948.0,19.6,717.7,-2.0,0.22,0.00223,103115.0,18.799999999999997,9.55,24.1,6.4,11.45,5612.5,32.95
Республика Алтай,19304.2,100.0,29151.8,88.4,59.6,8494.8,70.95,7.35,205304.8,14.4,4.8,0.46759999999999985,89430.0,289.3,317.7,13.3,3887.4,209046.4,32.9,44.5,2.9,52.6,19113418.3,116796.0,17.3,2392.4,-1.1,0.151,0.00355,64304.0,12.85,20.0,36.55,8.3,21.85,9914.5,25.05
Республика Башкортостан,28903.3,97.2,32225.0,90.9,562.8,90049.2,59.15,6.0,345002.9,17.4,0.5,0.9912000000000001,84716.1,96.0,425.4,8.7,52001.6,4070248.9,17.7,40.1,4.5,55.4,3259245581.9,210419.0,18.8,1152.5,-5.0,0.168,0.0319,914683.0,18.45,14.399999999999999,24.049999999999997,1.7,38.5,3666.0,42.2
Республика Бурятия,24480.3,98.1,34592.3,89.4,172.2,33332.2,44.85,3.35,222082.0,17.2,3.2,2.112,60954.6,86.1,341.6,6.8,15347.3,979828.2,29.9,41.7,3.7,54.6,275115405.1,175619.0,20.8,1964.2,-5.7,0.235,0.01315,263735.0,16.3,16.95,26.5,5.95,13.7,1487.5,34.3
Республика Дагестан,26623.3,97.9,24190.2,90.1,698.6,216245.0,14.85,9.6,186556.2,22.5,0.8,1.2,79789.4,208.2,360.3,0.0,50170.4,2832146.3,30.8,38.3,5.0,56.7,141726222.2,189148.0,25.2,282.4,-0.6,0.244,0.0059,895195.0,18.5,24.0,30.5,16.8,13.15,15800.0,35.45
Республика Ингушетия,16064.2,98.2,24857.3,85.1,122.6,42026.5,0.1,1.95,114423.7,27.8,0.0,0.0,67861.8,45.1,95.0,0.0,8937.8,443265.4,50.5,38.1,10.6,51.3,10038200.3,47648.0,25.8,163.4,3.1,0.235,0.00054,164102.0,21.4,36.55,54.650000000000006,21.7,9.0,2068.0,46.0
Республика Калмыкия,17105.7,100.4,25170.8,90.2,47.9,10852.0,44.6,0.35,225079.1,20.2,0.0,0.0,68861.1,89.9,494.6,0.0,3700.8,287282.5,41.8,33.8,0.3,65.9,9786325.0,74043.0,21.8,969.8,2.5,0.173,0.00184,66481.0,17.9,24.35,31.1,1.1,17.6,7261.5,49.7
Республика Карелия,28694.3,99.6,37844.3,91.4,68.6,17467.3,83.7,6.45,377604.1,17.1,3.4,4.6805,111896.4,470.5,694.4,25.7,7024.4,660409.9,17.6,39.0,3.0,58.1,461885189.0,187859.0,24.3,1582.6,-0.9,0.176,0.00678,106973.0,15.700000000000001,16.65,17.15,4.3,15.95,4640.0,48.2
Республика Коми,33560.5,96.6,48616.8,89.2,119.4,26045.3,100.15,10.45,660358.8,15.5,8.8,6.588600000000001,109454.3,289.1,680.9,35.4,10671.3,921096.3,16.7,40.1,6.6,53.3,1202452433.4,186469.0,20.5,1955.3,-5.2,0.176,0.01129,164496.0,16.45,20.6,10.15,3.65,22.6,6591.0,38.8
Республика Крым,20024.2,102.6,28219.0,0.0,107.3,59647.8,55.449997,14.700001,137603.6,19.0,0.7,0.22999999999999998,52444.8,177.4,330.5,5.8,9030.1,1906416.4,22.9,48.2,1.7,50.1,305033214.2,128619.0,13.1,746.4,-0.1,0.203,0.00977,389918.0,19.2,14.1,30.6,3.0,8.65,7433.0,37.9
